,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,avg_duration
0,2016-17,Animal Husbandry and Veterinary Department,Financial Evaluation,Goods,180.0
1,2016-17,Animal Husbandry and Veterinary Department,Technical Evaluation,Goods,90.0
2,2016-17,Assam Police,AOC,Goods,180.0
3,2016-17,Assam Police,AOC,Services,90.0
4,2016-17,Assam Police,Financial Bid Opening,Goods,240.0
5,2016-17,Assam Police,To be Opened,Goods,180.0
6,2016-17,Assam Police Housing Corporation Ltd,AOC,Works,60.0
7,2016-17,Assam Police Housing Corporation Ltd,Financial Bid Opening,Works,60.0
8,2016-17,Assam Police Housing Corporation Ltd,Technical Bid Opening,Works,60.0
9,2016-17,Assam Police Housing Corporation Ltd,Technical Evaluation,Works,60.0
10,2016-17,Assam Police Housing Corporation Ltd,To be Opened,Works,60.0
11,2016-17,Assam State Agricultural Marketing Board,AOC,Works,180.0
12,2016-17,Assam State Agricultural Marketing Board,Bid Opening,Works,365.0
13,2016-17,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Goods,90.0
14,2016-17,Axom Sarba Siksha Abhijan Mission,Financial Bid Opening,Works,180.0
15,2016-17,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Goods,90.0
16,2016-17,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,84.0
17,2016-17,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,90.0
18,2016-17,Axom Sarba Siksha Abhijan Mission,To be Opened,Goods,87.22222222222223
19,2016-17,Axom Sarba Siksha Abhijan Mission,To be Opened,Services,90.0
20,2016-17,Axom Sarba Siksha Abhijan Mission,To be Opened,Works,90.0
21,2016-17,Bodoland Territorial Council-PWD,AOC,Works,180.0
22,2016-17,Bodoland Territorial Council-PWD,Technical Evaluation,Works,180.0
23,2016-17,Bodoland Territorial Council-PWD,To be Opened,Works,180.0
24,2016-17,Bodoland Territorial Council-WRD,AOC,Works,180.0
25,2016-17,Department of Handloom Textile and Sericulture,AOC,Goods,365.0
26,2016-17,Department of Handloom Textile and Sericulture,To be Opened,Works,180.0
27,2016-17,Department of Labour and Welfare,AOC,Goods,60.0
28,2016-17,Department of Science and Technology,Financial Bid Opening,Works,180.0
29,2016-17,Department of Science and Technology,Technical Evaluation,Works,362.5
30,2016-17,Department of Tourism,AOC,Works,202.5
31,2016-17,Department of Tourism,To be Opened,Works,193.84615384615384
32,2016-17,Department of Water Resources,AOC,Works,180.0
33,2016-17,Department of Water Resources,Financial Bid Opening,Goods,180.0
34,2016-17,Department of Water Resources,Financial Bid Opening,Works,180.09316770186336
35,2016-17,Department of Water Resources,Financial Evaluation,Works,180.0
36,2016-17,Department of Water Resources,Technical Bid Opening,Works,180.0
37,2016-17,Department of Water Resources,Technical Evaluation,Works,171.62790697674419
38,2016-17,Department of Water Resources,To be Opened,Works,180.0
39,2016-17,Director- Fire and Emergency Services-Assam,AOC,Works,365.0
40,2016-17,Director- Fire and Emergency Services-Assam,Financial Evaluation,Works,365.0
41,2016-17,Director- Fire and Emergency Services-Assam,To be Opened,Works,365.0
42,2016-17,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,90.0
43,2016-17,Directorate of Agriculture and Assam Seed Corporation,Evaluation,Goods,30.0
44,2016-17,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,90.0
45,2016-17,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Works,90.0
46,2016-17,Directorate of Agriculture and Assam Seed Corporation,To be Opened,Goods,90.0
47,2016-17,Directorate of Sports and Youth Welfare - Assam,Technical Evaluation,Services,90.0
48,2016-17,Directorate of Sports and Youth Welfare - Assam,To be Opened,Services,90.0
