,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,awardee,tender_count,avg_comp,award_val
0,2018-2019,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,['Kamal Kumar Modi'],1.0,-1.0,15005960.0
1,2018-2019,Public Works Building and NH Department,AOC,Works,['Dhananjoy Talukdar'],1.0,-1.0,52207339.0
2,2018-2019,Public Works Building and NH Department,AOC,Works,['Elite Agency'],1.0,-1.0,57307660.0
3,2018-2019,Public Works Building and NH Department,AOC,Works,['Puberun Real Estate Pvt. Ltd.'],1.0,-1.0,97000000.0
4,2018-2019,Public Works Building and NH Department,AOC,Works,['Sri Birkhang Boro'],1.0,-1.0,57121489.0
5,2018-2019,Public Works Roads Department,AOC,Works,['DIPANKAR SAIKIA'],1.0,-1.0,49320007.0
6,2018-2019,Public Works Roads Department,AOC,Works,['Miah'],1.0,-1.0,8097062.0
7,2018-2019,Public Works Roads Department,AOC,Works,['Sri Diganta Borthakur'],1.0,-1.0,53864000.0
8,2018-2019,Public Works Roads Department,AOC,Works,['Tej Karan Jain'],1.0,-1.0,60823697.0
9,2018-2019,Urban Development Department,AOC,Works,['MS MANAB JYOTI GOGOI AND CO.'],1.0,-1.0,97991317.62
10,2019-2020,Animal Husbandry and Veterinary Department,AOC,Works,['E N PROJECT AND ENGINEERING INDUSTRIES (P) LIMITED'],1.0,3.0,16795914.98
11,2019-2020,Bodoland Territorial Council,AOC,Goods,['chakrasing Muchahary'],4.0,2.75,7440.0
12,2019-2020,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,['Kamal Kumar Modi'],1.0,0.0,15005960.0
13,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,['BIPUL MEDHI'],1.0,-1.0,8728200.0
14,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['Fayzal Hoque'],2.0,4.0,14250000.0
15,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['INTAZ ALI'],3.0,0.0,21750000.0
16,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['KALPANA CONSTRUCTION'],2.0,-0.5,14250000.0
17,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['M/S MAA AYNA CONSTRUCTION'],1.0,1.0,18750000.0
18,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['M/S PHENIX SOLUTIONS'],2.0,-0.5,14250000.0
19,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['M/S STAR INDIA'],2.0,-0.5,14551500.0
20,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['Sri Krishna Prasad Sing'],2.0,0.5,14250000.0
21,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['T J Biswajit Mahengia'],2.0,2.0,14250000.0
22,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['abu bakkar siddique'],1.0,0.0,7500000.0
23,2019-2020,Public Works Building and NH Department,AOC,Works,['Dhananjoy Talukdar'],1.0,1.0,52207339.0
24,2019-2020,Public Works Building and NH Department,AOC,Works,['Dhruba Jyoti Saikia'],1.0,4.0,27779516.0
25,2019-2020,Public Works Building and NH Department,AOC,Works,['Elite Agency'],1.0,1.0,57307660.0
26,2019-2020,Public Works Building and NH Department,AOC,Works,['MANOJ TALUKDAR'],2.0,0.0,182980000.0
27,2019-2020,Public Works Building and NH Department,AOC,Works,['Puberun Real Estate Pvt. Ltd.'],3.0,0.3333333333333333,294769994.0
28,2019-2020,Public Works Building and NH Department,AOC,Works,['Sri Birkhang Boro'],1.0,2.0,57121489.0
29,2019-2020,Public Works Roads Department,AOC,Works,['DIPANKAR SAIKIA'],1.0,0.0,49320007.0
30,2019-2020,Public Works Roads Department,AOC,Works,['Miah'],1.0,1.0,8097062.0
31,2019-2020,Public Works Roads Department,AOC,Works,['Sri Diganta Borthakur'],1.0,3.0,53864000.0
32,2019-2020,Public Works Roads Department,AOC,Works,['Tej Karan Jain'],1.0,0.0,60823697.0
33,2019-2020,Urban Development Department,AOC,Works,['MS MANAB JYOTI GOGOI AND CO.'],1.0,2.0,97991317.62
34,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,['KULDEEP BORA'],2.0,0.0,282842000.0
35,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,['E N PROJECT AND ENGINEERING INDUSTRIES (P) LIMITED'],1.0,-1.0,16795914.98
36,2020-2021,Assam Inland Water Transport Development Society,AOC,Services,['HaskoningDHV Consulting Private Limited'],1.0,-1.0,33202688.4
37,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,['Das Consultancy And Agency Services'],1.0,-1.0,28939653.98
38,2020-2021,Assam Power Generation Company Limited,AOC,Works,['VIKRAM SOLAR LIMITED'],1.0,-1.0,0.0
39,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,['CtrlS Datacenters limited'],2.0,1.0,70772166.0
40,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,['Andritz Hydro Private Limited'],2.0,5.5,6134469780.0
41,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,['Bakul Chandra Brahma'],1.0,-1.0,6145870.0
42,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,['BIPUL MEDHI'],1.0,3.0,8728200.0
43,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,['M/S B.M.ENTERPRISE'],1.0,-1.0,4528083.05
44,2020-2021,Guwahati Municipal Corporation,AOC,Works,['Assam Electricals'],2.0,6.0,30960000.0
45,2020-2021,Guwahati Municipal Corporation,AOC,Works,['Bhabani Performer'],4.0,5.0,36540000.0
46,2020-2021,Health and Family Welfare Department,AOC,Goods,['Boston Ivy Healthcare Solutions Pvt Ltd'],2.0,2.0,2020008.0
47,2020-2021,Health and Family Welfare Department,AOC,Services,['ANUPAM KAKATI'],1.0,-1.0,2.49
48,2020-2021,Industries and Commerce Department,AOC,Goods,['SICK India Private Limited'],1.0,-1.0,15123800.4
49,2020-2021,Industries and Commerce Department,AOC,Goods,['Tirupati Industrial Stores'],2.0,0.0,21092051.6
50,2020-2021,National Health Mission,AOC,Services,['Piramal Swasthya Management and Research Institute'],1.0,-1.0,422975017.16
51,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,['Amar Jyoti Bhattacharjye'],1.0,3.0,6555959.29
52,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,['Individual'],1.0,-1.0,8665516.79
53,2020-2021,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,['INTAZ ALI'],1.0,5.0,7500000.0
