,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,number_of_bids,tender_count
0,2017-2018,Assam Police,AOC,Goods,4 and more bids,20
1,2017-2018,Assam Police,Cancelled,Goods,4 and more bids,3
2,2017-2018,Bodoland Territorial Council,AOC,Works,2 bids,2
3,2017-2018,Bodoland Territorial Council,AOC,Works,3 bids,2
4,2017-2018,Bodoland Territorial Council,AOC,Works,4 and more bids,1
5,2017-2018,Bodoland Territorial Council-PWD,AOC,Works,2 bids,3
6,2017-2018,Bodoland Territorial Council-PWD,AOC,Works,4 and more bids,1
7,2017-2018,Bodoland Territorial Council-PWD,Cancelled,Works,0 bids,1
8,2017-2018,Industries and Commerce Department,Cancelled,Goods,1 bids,1
9,2017-2018,Industries and Commerce Department,Cancelled,Goods,2 bids,1
10,2017-2018,Industries and Commerce Department,Cancelled,Goods,4 and more bids,1
11,2017-2018,Industries and Commerce Department,Cancelled,Works,2 bids,1
12,2017-2018,Principal Secretary-Department of Information Technology,AOC,Goods,3 bids,1
13,2017-2018,Public Works Building and NH Department,AOC,Works,1 bids,1
14,2017-2018,Public Works Building and NH Department,AOC,Works,2 bids,1
15,2017-2018,Public Works Building and NH Department,AOC,Works,3 bids,2
16,2017-2018,Public Works Building and NH Department,AOC,Works,4 and more bids,2
17,2017-2018,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,4 and more bids,1
18,2017-2018,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,0 bids,1
19,2017-2018,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,4 and more bids,1
20,2018-2019,Assam Electricity Grid Corporation Ltd,AOC,Works,1 bids,2
21,2018-2019,Assam Electricity Grid Corporation Ltd,AOC,Works,2 bids,1
22,2018-2019,Assam Electricity Grid Corporation Ltd,Cancelled,Works,1 bids,1
23,2018-2019,Assam Police,AOC,Services,2 bids,1
24,2018-2019,Assam Police,AOC,Services,4 and more bids,1
25,2018-2019,Assam Police,Cancelled,Goods,1 bids,1
26,2018-2019,Assam Police,Cancelled,Goods,4 and more bids,1
27,2018-2019,Assam Power Distribution Company Ltd,AOC,Works,3 bids,1
28,2018-2019,Assam Power Generation Company Limited,Cancelled,Works,1 bids,1
29,2018-2019,Assam Power Generation Company Limited,Cancelled,Works,2 bids,4
30,2018-2019,Assam Power Generation Company Limited,Cancelled,Works,3 bids,1
31,2018-2019,Assam State Transport Corporation,AOC,Services,3 bids,1
32,2018-2019,Bodoland Territorial Council,AOC,Goods,4 and more bids,1
33,2018-2019,Bodoland Territorial Council,AOC,Works,3 bids,7
34,2018-2019,Bodoland Territorial Council,Cancelled,Works,0 bids,5
35,2018-2019,Bodoland Territorial Council-PWD,Cancelled,Works,1 bids,1
36,2018-2019,Bodoland Territorial Council-WRD,AOC,Works,2 bids,2
37,2018-2019,Bodoland Territorial Council-WRD,AOC,Works,3 bids,1
38,2018-2019,Bodoland Territorial Council-WRD,AOC,Works,4 and more bids,4
39,2018-2019,Cotton University,AOC,Works,4 and more bids,2
40,2018-2019,Department of Tourism,AOC,Works,4 and more bids,1
41,2018-2019,Department of Water Resources,AOC,Works,4 and more bids,1
42,2018-2019,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,0 bids,1
43,2018-2019,Health and Family Welfare Department,AOC,Goods,1 bids,1
