,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,tender/procurementMethod,tender_count
0,2017-2018,Assam Police,AOC,Goods,Open,20
1,2017-2018,Assam Police,Cancelled,Goods,Open,3
2,2017-2018,Bodoland Territorial Council,AOC,Works,Open,5
3,2017-2018,Bodoland Territorial Council-PWD,AOC,Works,Open,4
4,2017-2018,Bodoland Territorial Council-PWD,Cancelled,Works,Open,1
5,2017-2018,Industries and Commerce Department,Cancelled,Goods,Open,3
6,2017-2018,Industries and Commerce Department,Cancelled,Works,Open,1
7,2017-2018,Principal Secretary-Department of Information Technology,AOC,Goods,Selective,1
8,2017-2018,Public Works Building and NH Department,AOC,Works,Open,6
9,2017-2018,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Open,1
10,2017-2018,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Open,2
11,2018-2019,Assam Electricity Grid Corporation Ltd,AOC,Works,Open,3
12,2018-2019,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Open,1
13,2018-2019,Assam Police,AOC,Services,Open,2
14,2018-2019,Assam Police,Cancelled,Goods,Open,2
15,2018-2019,Assam Power Distribution Company Ltd,AOC,Works,Open,1
16,2018-2019,Assam Power Generation Company Limited,Cancelled,Works,Open,6
17,2018-2019,Assam State Transport Corporation,AOC,Services,Open,1
18,2018-2019,Bodoland Territorial Council,AOC,Goods,Open,1
19,2018-2019,Bodoland Territorial Council,AOC,Works,Open,7
20,2018-2019,Bodoland Territorial Council,Cancelled,Works,Open,5
21,2018-2019,Bodoland Territorial Council-PWD,Cancelled,Works,Open,1
22,2018-2019,Bodoland Territorial Council-WRD,AOC,Works,Open,7
23,2018-2019,Cotton University,AOC,Works,Open,2
24,2018-2019,Department of Tourism,AOC,Works,Open,1
25,2018-2019,Department of Water Resources,AOC,Works,Open,1
26,2018-2019,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Open Tender,1
27,2018-2019,Health and Family Welfare Department,AOC,Goods,Open,1
28,2018-2019,Health and Family Welfare Department,Cancelled,Goods,Open,1
29,2018-2019,Industries and Commerce Department,AOC,Works,Open,3
30,2018-2019,Industries and Commerce Department,Cancelled,Goods,Open,1
31,2018-2019,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open,2
32,2018-2019,Principal Secretary-Department of Information Technology,Cancelled,Services,Open,1
33,2018-2019,Public Works Building and NH Department,AOC,Works,Open,12
34,2018-2019,Public Works Building and NH Department,AOC,Works,Open Tender,4
35,2018-2019,Public Works Roads Department,AOC,Works,Open,1
36,2018-2019,Public Works Roads Department,AOC,Works,Open Tender,4
37,2018-2019,Urban Development Department,AOC,Works,Open Tender,1
38,2018-2019,Welfare of Plain Tribes and Backward Classes,AOC,Goods,Open,1
39,2019-2020,Animal Husbandry and Veterinary Department,AOC,Works,Open,4
40,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Goods,Open,1
41,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Services,Open,4
42,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Works,Open,9
43,2019-2020,Assam Electricity Grid Corporation Ltd,Cancelled,Services,Open,1
44,2019-2020,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Open,2
45,2019-2020,Assam Inland Water Transport Development Society,AOC,Goods,Open,8
46,2019-2020,Assam Inland Water Transport Development Society,AOC,Services,Open,1
47,2019-2020,Assam Inland Water Transport Development Society,AOC,Works,Open,3
48,2019-2020,Assam Police,AOC,Goods,Open,4
49,2019-2020,Assam Police,AOC,Services,Open,1
50,2019-2020,Assam Police Housing Corporation Ltd,AOC,Works,Open,20
51,2019-2020,Assam Power Distribution Company Ltd,AOC,Goods,Open,11
52,2019-2020,Assam Power Distribution Company Ltd,AOC,Services,Open,38
53,2019-2020,Assam Power Distribution Company Ltd,AOC,Works,Open,3
54,2019-2020,Assam Power Distribution Company Ltd,Cancelled,Services,Open,1
55,2019-2020,Assam Power Generation Company Limited,AOC,Goods,Open,2
56,2019-2020,Assam Power Generation Company Limited,AOC,Services,Open,2
57,2019-2020,Assam Power Generation Company Limited,AOC,Works,Open,5
58,2019-2020,Assam Power Generation Company Limited,Cancelled,Works,Open,1
59,2019-2020,Assam State Transport Corporation,AOC,Goods,Open,1
60,2019-2020,Assam State Transport Corporation,AOC,Services,Open,3
61,2019-2020,Assam State Transport Corporation,Cancelled,Goods,Open,3
62,2019-2020,Assam State Transport Corporation,Cancelled,Services,Open,3
63,2019-2020,Assam State Transport Corporation,Cancelled,Works,Open,1
64,2019-2020,BODOLAND UNIVERSITY,Cancelled,Works,Open,2
65,2019-2020,Bodoland Territorial Council,AOC,Goods,Open,3
66,2019-2020,Bodoland Territorial Council,AOC,Goods,Open Tender,2
67,2019-2020,Bodoland Territorial Council,AOC,Works,Open,6
68,2019-2020,Bodoland Territorial Council,Cancelled,Works,Open,4
69,2019-2020,Bodoland Territorial Council-PWD,Cancelled,Works,Open,5
70,2019-2020,Cooperation Department,AOC,Works,Open,21
71,2019-2020,Cotton University,AOC,Works,Open,3
72,2019-2020,Department of Tourism,AOC,Works,Open,2
73,2019-2020,Department of Water Resources,AOC,Works,Open,2
74,2019-2020,Dibrugarh University,AOC,Works,Open,2
75,2019-2020,Director- Fire and Emergency Services-Assam,AOC,Works,Open,2
76,2019-2020,Director- Fire and Emergency Services-Assam,AOC,Works,Selective,1
77,2019-2020,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Open,8
78,2019-2020,Directorate of Land Records and Survey etc. Assam,AOC,Goods,Open,1
79,2019-2020,Directorate of Land Records and Survey etc. Assam,AOC,Services,Open,1
80,2019-2020,Finance Department - World Bank Tenders,AOC,Services,Open,2
81,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,Open,1
82,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,Open Tender,1
83,2019-2020,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,Open,1
84,2019-2020,Health and Family Welfare Department,AOC,Goods,Open,7
85,2019-2020,Health and Family Welfare Department,AOC,Services,Open,1
86,2019-2020,Health and Family Welfare Department,Cancelled,Goods,Open,11
87,2019-2020,Health and Family Welfare Department,Cancelled,Works,Open,1
88,2019-2020,Health and Family Welfare Department,Financial Evaluation,Goods,Open,1
89,2019-2020,Home B,AOC,Goods,Open,18
90,2019-2020,Home B,Cancelled,Goods,Open,15
91,2019-2020,Industries and Commerce Department,AOC,Goods,Open,1
92,2019-2020,Industries and Commerce Department,AOC,Works,Open,4
93,2019-2020,Industries and Commerce Department,Cancelled,Services,Open,1
94,2019-2020,Industries and Commerce Department,Cancelled,Works,Open,1
95,2019-2020,Irrigation Department,Cancelled,Works,Open,1
96,2019-2020,National Health Mission,AOC,Goods,Open,6
97,2019-2020,National Health Mission,AOC,Goods,Open Limited,13
98,2019-2020,National Health Mission,AOC,Works,Open,37
99,2019-2020,National Health Mission,Cancelled,Goods,Open,1
100,2019-2020,National Health Mission,Cancelled,Services,Open,1
101,2019-2020,National Health Mission,Cancelled,Works,Open,4
102,2019-2020,National Health Mission,Financial Evaluation,Services,Open,1
103,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open,25
104,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Open Tender,7
105,2019-2020,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,Open,1
106,2019-2020,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,Open,4
107,2019-2020,Public Health Engineering Department,AOC,Services,Open,1
108,2019-2020,Public Health Engineering Department,Cancelled,Goods,Open,2
109,2019-2020,Public Health Engineering Department,Cancelled,Works,Open,4
110,2019-2020,Public Works Building and NH Department,AOC,Works,Open,18
111,2019-2020,Public Works Building and NH Department,AOC,Works,Open Tender,3
112,2019-2020,Public Works Roads Department,AOC,Works,Open,9
113,2019-2020,Public Works Roads Department,Financial Evaluation,Works,Open,1
114,2019-2020,Skill Employment and Entrepreneurship Department,AOC,Services,Open,1
115,2019-2020,Social Welfare Department,Cancelled,Goods,Open,1
116,2019-2020,Urban Development Department,AOC,Works,Open,3
117,2019-2020,Urban Development Department,Cancelled,Goods,Open,3
118,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Goods,Open,10
119,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Services,Open,1
120,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,Limited,1
121,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,Open,4
122,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,Selective,5
123,2019-2020,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Open,1
124,2019-2020,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,Open,4
125,2019-2020,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Services,Open,2
126,2020-2021,Animal Husbandry and Veterinary Department,AOC,Goods,Open,11
127,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,Open,2
128,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,Open Tender,1
129,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Goods,Open,1
130,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Services,Open,2
131,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Works,Open,1
132,2020-2021,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,Open,1
133,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Goods,Open,1
134,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Services,Open,1
135,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Works,Open,13
136,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Goods,Open,1
137,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Services,Open,1
138,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Open,3
139,2020-2021,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Works,Open,10
140,2020-2021,Assam Inland Water Transport Development Society,AOC,Services,Open Tender,1
141,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,Open,1
142,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,Open Tender,1
143,2020-2021,Assam Inland Water Transport Development Society,Cancelled,Services,Open,2
144,2020-2021,Assam Police,AOC,Goods,Open,4
145,2020-2021,Assam Police,AOC,Services,Open,1
146,2020-2021,Assam Police,AOC,Services,Selective,2
147,2020-2021,Assam Police,Cancelled,Goods,Open,2
148,2020-2021,Assam Police,Cancelled,Services,Open,1
149,2020-2021,Assam Police,Cancelled,Works,Open,1
150,2020-2021,Assam Police,Financial Evaluation,Goods,Open,1
151,2020-2021,Assam Police Housing Corporation Ltd,AOC,Works,Open,33
152,2020-2021,Assam Police Housing Corporation Ltd,Cancelled,Works,Open,4
153,2020-2021,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,Open,9
154,2020-2021,Assam Power Distribution Company Limited- Externally Aided Project,Cancelled,Works,Open,1
155,2020-2021,Assam Power Distribution Company Ltd,AOC,Works,Open,29
156,2020-2021,Assam Power Distribution Company Ltd,Cancelled,Services,Open,14
157,2020-2021,Assam Power Generation Company Limited,AOC,Goods,Open,1
158,2020-2021,Assam Power Generation Company Limited,AOC,Works,Open,2
159,2020-2021,Assam Power Generation Company Limited,AOC,Works,Open Tender,1
160,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,Open,1
161,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,Open Tender,1
162,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Global Tenders,1
163,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Open,1
164,2020-2021,Assam Science and Technology University,AOC,Goods,Open,1
165,2020-2021,Assam State Disaster Management Authority,AOC,Goods,Open,2
166,2020-2021,Assam State Disaster Management Authority,AOC,Services,Open,1
167,2020-2021,Assam State Disaster Management Authority,Cancelled,Goods,Open,2
168,2020-2021,Assam State Disaster Management Authority,Financial Evaluation,Services,Open,1
169,2020-2021,Assam State Transport Corporation,AOC,Goods,Open,1
170,2020-2021,Assam State Transport Corporation,AOC,Works,Open,1
171,2020-2021,Assam State Transport Corporation,Cancelled,Goods,Open,4
172,2020-2021,Assam State Transport Corporation,Cancelled,Services,Open,3
173,2020-2021,Axom Sarba Siksha Abhijan Mission,AOC,Goods,Open,11
174,2020-2021,Axom Sarba Siksha Abhijan Mission,AOC,Services,Open,1
175,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,Open,11
176,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,Open,1
177,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,Open,2
178,2020-2021,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,Open,1
179,2020-2021,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,Open,18
180,2020-2021,BODOLAND UNIVERSITY,Cancelled,Works,Open,2
181,2020-2021,Bodoland Territorial Council,AOC,Goods,Open,1
182,2020-2021,Bodoland Territorial Council,AOC,Works,Open,33
183,2020-2021,Bodoland Territorial Council,Cancelled,Works,Open,3
184,2020-2021,Bodoland Territorial Council,Financial Bid Opening,Works,Open,21
185,2020-2021,Bodoland Territorial Council,Financial Evaluation,Works,Open,1
186,2020-2021,Bodoland Territorial Council,Technical Evaluation,Works,Open,3
187,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,Open,15
188,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,Open Tender,1
189,2020-2021,Bodoland Territorial Council-PWD,Cancelled,Works,Open,9
190,2020-2021,Bodoland Territorial Council-PWD,Technical Evaluation,Services,Open,1
191,2020-2021,Bodoland Territorial Council-PWD,Technical Evaluation,Works,Open,4
192,2020-2021,Bodoland Territorial Council-WRD,AOC,Works,Open,7
193,2020-2021,Cooperation Department,AOC,Goods,Open,4
194,2020-2021,Cooperation Department,AOC,Works,Open,36
195,2020-2021,Cotton University,AOC,Works,Open,2
196,2020-2021,Department of Cultural Affairs,AOC,Services,Open,2
197,2020-2021,Department of Cultural Affairs,AOC,Works,Open,36
198,2020-2021,Department of Cultural Affairs,Cancelled,Works,Open,1
199,2020-2021,Department of Cultural Affairs,Financial Bid Opening,Works,Open,1
200,2020-2021,Department of Cultural Affairs,Retender,Works,Open,4
201,2020-2021,Department of Cultural Affairs,Technical Evaluation,Works,Open,1
202,2020-2021,Department of Fisheries,AOC,Services,Open,1
203,2020-2021,Department of Fisheries,Cancelled,Works,Open,1
204,2020-2021,Department of Fisheries,Retender,Services,Open,1
205,2020-2021,Department of Handloom Textile and Sericulture,AOC,Goods,Open,4
206,2020-2021,Department of Handloom Textile and Sericulture,AOC,Works,Open,1
207,2020-2021,Department of Handloom Textile and Sericulture,Cancelled,Works,Open,1
208,2020-2021,Department of Handloom Textile and Sericulture,Technical Evaluation,Works,Open,1
209,2020-2021,Department of Labour and Welfare,AOC,Services,Open,1
210,2020-2021,Department of Science and Technology,AOC,Goods,Open,1
211,2020-2021,Department of Tourism,AOC,Goods,Open,1
212,2020-2021,Department of Water Resources,AOC,Works,Open,41
213,2020-2021,Department of Water Resources,Cancelled,Works,Open,1
214,2020-2021,Department of Water Resources,Retender,Works,Open,6
215,2020-2021,Dibrugarh University,AOC,Goods,Open,1
216,2020-2021,Dibrugarh University,AOC,Works,Open,2
217,2020-2021,Director- Fire and Emergency Services-Assam,AOC,Goods,Open,2
218,2020-2021,Director- Fire and Emergency Services-Assam,AOC,Works,Open,7
219,2020-2021,Directorate of Agriculture and Assam Seed Corporation,AOC,Goods,Open,1
220,2020-2021,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Open,1
221,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Cancelled,Goods,Open,1
222,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Financial Bid Opening,Works,Open,1
223,2020-2021,Directorate of Agriculture and Assam Seed Corporation,Financial Evaluation,Goods,Open,3
224,2020-2021,Directorate of Horticulture Assam,AOC,Goods,Open,1
225,2020-2021,Directorate of Horticulture Assam,Cancelled,Works,Open,1
226,2020-2021,Directorate of Land Records and Survey etc. Assam,AOC,Goods,Open,2
227,2020-2021,Directorate of Land Records and Survey etc. Assam,AOC,Works,Open,1
228,2020-2021,Directorate of Sports and Youth Welfare - Assam,AOC,Goods,Open,1
229,2020-2021,Elementary Education Department,AOC,Goods,Open,1
230,2020-2021,Elementary Education Department,AOC,Services,Open,1
231,2020-2021,Elementary Education Department,Retender,Services,Open,1
232,2020-2021,Finance Department - World Bank Tenders,AOC,Goods,Open,1
233,2020-2021,Finance Department - World Bank Tenders,AOC,Services,Direct,3
234,2020-2021,Finance Department - World Bank Tenders,AOC,Services,Open,1
235,2020-2021,Finance Department - World Bank Tenders,AOC,Services,Selective,3
236,2020-2021,Food Civil Supplies and Consumer Affairs Department,AOC,Goods,Open,2
237,2020-2021,Food Civil Supplies and Consumer Affairs Department,AOC,Services,Open,1
238,2020-2021,Food Civil Supplies and Consumer Affairs Department,Financial Bid Opening,Goods,Open,2
239,2020-2021,Gauhati University,AOC,Works,Open,1
240,2020-2021,Gauhati University,Retender,Works,Open,1
241,2020-2021,Guwahati Metropolitan Development Authority,AOC,Services,Open,1
242,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,Open,1
243,2020-2021,Guwahati Metropolitan Development Authority,AOC,Works,Open Tender,1
244,2020-2021,Guwahati Metropolitan Development Authority,Cancelled,Works,Open,2
245,2020-2021,Guwahati Metropolitan Development Authority,Technical Evaluation,Services,Open,1
246,2020-2021,Guwahati Metropolitan Development Authority,Technical Evaluation,Works,Open,2
247,2020-2021,Guwahati Municipal Corporation,AOC,Goods,Open,1
248,2020-2021,Guwahati Municipal Corporation,AOC,Services,Open,1
249,2020-2021,Guwahati Municipal Corporation,AOC,Works,Open,5
250,2020-2021,Guwahati Municipal Corporation,AOC,Works,Open Tender,3
251,2020-2021,Guwahati Municipal Corporation,Cancelled,Goods,Open,1
252,2020-2021,Guwahati Municipal Corporation,Cancelled,Works,Open,62
253,2020-2021,Guwahati Municipal Corporation,Financial Bid Opening,Works,Open,2
254,2020-2021,Guwahati Municipal Corporation,Financial Evaluation,Works,Open,6
255,2020-2021,Guwahati Municipal Corporation,Retender,Works,Open,10
256,2020-2021,Guwahati Smart City Ltd.,Cancelled,Works,Open,3
257,2020-2021,Health and Family Welfare Department,AOC,Goods,Open,19
258,2020-2021,Health and Family Welfare Department,AOC,Goods,Open Tender,1
259,2020-2021,Health and Family Welfare Department,AOC,Services,Open,7
260,2020-2021,Health and Family Welfare Department,AOC,Services,Open Tender,1
261,2020-2021,Health and Family Welfare Department,Cancelled,Goods,Open,13
262,2020-2021,Health and Family Welfare Department,Cancelled,Goods,Open Tender,1
263,2020-2021,Health and Family Welfare Department,Cancelled,Services,Open,2
264,2020-2021,Health and Family Welfare Department,Financial Evaluation,Goods,Open,7
265,2020-2021,Health and Family Welfare Department,Financial Evaluation,Services,Open,1
266,2020-2021,Health and Family Welfare Department,Retender,Goods,Open,6
267,2020-2021,Health and Family Welfare Department,Retender,Services,Open,1
268,2020-2021,Health and Family Welfare Department,Technical Evaluation,Goods,Open,5
269,2020-2021,Health and Family Welfare Department,To Be Opened,Goods,Open,1
270,2020-2021,Higher Education (Technical) Department,AOC,Goods,Open,2
271,2020-2021,Higher Education (Technical) Department,Financial Evaluation,Goods,Open,1
272,2020-2021,Hill Areas Department,AOC,Goods,Open,13
273,2020-2021,Hill Areas Department,Retender,Goods,Open,1
274,2020-2021,Home B,AOC,Goods,Open,15
275,2020-2021,Home B,Cancelled,Goods,Open,12
276,2020-2021,Industries and Commerce Department,AOC,Goods,Open,9
277,2020-2021,Industries and Commerce Department,AOC,Goods,Open Limited,1
278,2020-2021,Industries and Commerce Department,AOC,Goods,Open Tender,2
279,2020-2021,Industries and Commerce Department,AOC,Services,Open,5
280,2020-2021,Industries and Commerce Department,AOC,Works,Open,33
281,2020-2021,Industries and Commerce Department,AOC,Works,Selective,1
282,2020-2021,Industries and Commerce Department,Cancelled,Goods,Open,7
283,2020-2021,Industries and Commerce Department,Cancelled,Services,Open,3
284,2020-2021,Industries and Commerce Department,Cancelled,Services,Selective,1
285,2020-2021,Industries and Commerce Department,Cancelled,Works,Open,33
286,2020-2021,Industries and Commerce Department,Cancelled,Works,Open Limited,1
287,2020-2021,Industries and Commerce Department,Financial Bid Opening,Goods,Open,2
288,2020-2021,Industries and Commerce Department,Financial Bid Opening,Services,Open,1
289,2020-2021,Industries and Commerce Department,Financial Bid Opening,Works,Open,2
290,2020-2021,Industries and Commerce Department,Retender,Works,Open,7
291,2020-2021,Industries and Commerce Department,Technical Evaluation,Goods,Open,2
292,2020-2021,Industries and Commerce Department,To Be Opened,Works,Open,1
293,2020-2021,Information and Public Relations Department,AOC,Services,Open,1
294,2020-2021,Irrigation Department,AOC,Goods,Open,2
295,2020-2021,Irrigation Department,AOC,Works,Open,26
296,2020-2021,Irrigation Department,Cancelled,Works,Open,15
297,2020-2021,Karbi Anglong Autonomous Council,AOC,Goods,Open,1
298,2020-2021,Karbi Anglong Autonomous Council,AOC,Works,Open,2
299,2020-2021,National Health Mission,AOC,Goods,Open,15
300,2020-2021,National Health Mission,AOC,Goods,Open Limited,1
301,2020-2021,National Health Mission,AOC,Services,Open,2
302,2020-2021,National Health Mission,AOC,Services,Open Tender,1
303,2020-2021,National Health Mission,AOC,Works,Open,22
304,2020-2021,National Health Mission,Cancelled,Goods,Open,4
305,2020-2021,National Health Mission,Cancelled,Services,Open,1
306,2020-2021,National Health Mission,Cancelled,Works,Open,7
307,2020-2021,National Health Mission,Financial Bid Opening,Works,Open,5
308,2020-2021,National Health Mission,Financial Evaluation,Goods,Open,2
309,2020-2021,National Health Mission,Financial Evaluation,Services,Open,1
310,2020-2021,National Health Mission,Financial Evaluation,Works,Open,12
311,2020-2021,National Health Mission,Retender,Works,Open,1
312,2020-2021,National Health Mission,Technical Evaluation,Goods,Open,1
313,2020-2021,National Health Mission,Technical Evaluation,Services,Open,1
314,2020-2021,National Health Mission,Technical Evaluation,Works,Open,12
315,2020-2021,Office of the Chief Electoral Officer Assam,AOC,Services,Open,1
316,2020-2021,Pollution Control Board,Retender,Works,Open,1
317,2020-2021,Pr. Chief Conservator of Forest and Head of Forest Force,AOC,Works,Open,5
