,fiscal_year,buyer_name,tender/stage,tender/mainProcurementCategory,saving/overrun,tender_count
0,2017-2018,Assam Police,AOC,Goods,Samevalue,20
1,2017-2018,Assam Police,Cancelled,Goods,Samevalue,3
2,2017-2018,Bodoland Territorial Council,AOC,Works,Samevalue,5
3,2017-2018,Bodoland Territorial Council-PWD,AOC,Works,Samevalue,4
4,2017-2018,Bodoland Territorial Council-PWD,Cancelled,Works,Samevalue,1
5,2017-2018,Industries and Commerce Department,Cancelled,Goods,Samevalue,3
6,2017-2018,Industries and Commerce Department,Cancelled,Works,Samevalue,1
7,2017-2018,Principal Secretary-Department of Information Technology,AOC,Goods,Samevalue,1
8,2017-2018,Public Works Building and NH Department,AOC,Works,Samevalue,6
9,2017-2018,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Samevalue,1
10,2017-2018,Welfare of Plain Tribes and Backward Classes,Cancelled,Works,Samevalue,2
11,2018-2019,Assam Electricity Grid Corporation Ltd,AOC,Works,Samevalue,3
12,2018-2019,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Samevalue,1
13,2018-2019,Assam Police,AOC,Services,Samevalue,2
14,2018-2019,Assam Police,Cancelled,Goods,Samevalue,2
15,2018-2019,Assam Power Distribution Company Ltd,AOC,Works,Samevalue,1
16,2018-2019,Assam Power Generation Company Limited,Cancelled,Works,Samevalue,6
17,2018-2019,Assam State Transport Corporation,AOC,Services,Samevalue,1
18,2018-2019,Bodoland Territorial Council,AOC,Goods,Samevalue,1
19,2018-2019,Bodoland Territorial Council,AOC,Works,Samevalue,7
20,2018-2019,Bodoland Territorial Council,Cancelled,Works,Samevalue,5
21,2018-2019,Bodoland Territorial Council-PWD,Cancelled,Works,Samevalue,1
22,2018-2019,Bodoland Territorial Council-WRD,AOC,Works,Samevalue,7
23,2018-2019,Cotton University,AOC,Works,Samevalue,2
24,2018-2019,Department of Tourism,AOC,Works,Samevalue,1
25,2018-2019,Department of Water Resources,AOC,Works,Samevalue,1
26,2018-2019,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Saving,1
27,2018-2019,Health and Family Welfare Department,AOC,Goods,Samevalue,1
28,2018-2019,Health and Family Welfare Department,Cancelled,Goods,Samevalue,1
29,2018-2019,Industries and Commerce Department,AOC,Works,Samevalue,3
30,2018-2019,Industries and Commerce Department,Cancelled,Goods,Samevalue,1
31,2018-2019,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Samevalue,2
32,2018-2019,Principal Secretary-Department of Information Technology,Cancelled,Services,Samevalue,1
33,2018-2019,Public Works Building and NH Department,AOC,Works,Overrun,3
34,2018-2019,Public Works Building and NH Department,AOC,Works,Samevalue,13
35,2018-2019,Public Works Roads Department,AOC,Works,Samevalue,2
36,2018-2019,Public Works Roads Department,AOC,Works,Saving,3
37,2018-2019,Urban Development Department,AOC,Works,Saving,1
38,2018-2019,Welfare of Plain Tribes and Backward Classes,AOC,Goods,Samevalue,1
39,2019-2020,Animal Husbandry and Veterinary Department,AOC,Works,Overrun,1
40,2019-2020,Animal Husbandry and Veterinary Department,AOC,Works,Samevalue,3
41,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Goods,Samevalue,1
42,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Services,Samevalue,4
43,2019-2020,Assam Electricity Grid Corporation Ltd,AOC,Works,Samevalue,9
44,2019-2020,Assam Electricity Grid Corporation Ltd,Cancelled,Services,Samevalue,1
45,2019-2020,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Samevalue,2
46,2019-2020,Assam Inland Water Transport Development Society,AOC,Goods,Samevalue,8
47,2019-2020,Assam Inland Water Transport Development Society,AOC,Services,Samevalue,1
48,2019-2020,Assam Inland Water Transport Development Society,AOC,Works,Samevalue,3
49,2019-2020,Assam Police,AOC,Goods,Samevalue,4
50,2019-2020,Assam Police,AOC,Services,Samevalue,1
51,2019-2020,Assam Police Housing Corporation Ltd,AOC,Works,Samevalue,20
52,2019-2020,Assam Power Distribution Company Ltd,AOC,Goods,Samevalue,11
53,2019-2020,Assam Power Distribution Company Ltd,AOC,Services,Samevalue,38
54,2019-2020,Assam Power Distribution Company Ltd,AOC,Works,Samevalue,3
55,2019-2020,Assam Power Distribution Company Ltd,Cancelled,Services,Samevalue,1
56,2019-2020,Assam Power Generation Company Limited,AOC,Goods,Samevalue,2
57,2019-2020,Assam Power Generation Company Limited,AOC,Services,Samevalue,2
58,2019-2020,Assam Power Generation Company Limited,AOC,Works,Samevalue,5
59,2019-2020,Assam Power Generation Company Limited,Cancelled,Works,Samevalue,1
60,2019-2020,Assam State Transport Corporation,AOC,Goods,Samevalue,1
61,2019-2020,Assam State Transport Corporation,AOC,Services,Samevalue,3
62,2019-2020,Assam State Transport Corporation,Cancelled,Goods,Samevalue,3
63,2019-2020,Assam State Transport Corporation,Cancelled,Services,Samevalue,3
64,2019-2020,Assam State Transport Corporation,Cancelled,Works,Samevalue,1
65,2019-2020,BODOLAND UNIVERSITY,Cancelled,Works,Samevalue,2
66,2019-2020,Bodoland Territorial Council,AOC,Goods,Samevalue,3
67,2019-2020,Bodoland Territorial Council,AOC,Goods,Saving,2
68,2019-2020,Bodoland Territorial Council,AOC,Works,Samevalue,6
69,2019-2020,Bodoland Territorial Council,Cancelled,Works,Samevalue,4
70,2019-2020,Bodoland Territorial Council-PWD,Cancelled,Works,Samevalue,5
71,2019-2020,Cooperation Department,AOC,Works,Samevalue,21
72,2019-2020,Cotton University,AOC,Works,Samevalue,3
73,2019-2020,Department of Tourism,AOC,Works,Samevalue,2
74,2019-2020,Department of Water Resources,AOC,Works,Samevalue,2
75,2019-2020,Dibrugarh University,AOC,Works,Samevalue,2
76,2019-2020,Director- Fire and Emergency Services-Assam,AOC,Works,Samevalue,3
77,2019-2020,Directorate of Agriculture and Assam Seed Corporation,AOC,Works,Samevalue,8
78,2019-2020,Directorate of Land Records and Survey etc. Assam,AOC,Goods,Samevalue,1
79,2019-2020,Directorate of Land Records and Survey etc. Assam,AOC,Services,Samevalue,1
80,2019-2020,Finance Department - World Bank Tenders,AOC,Services,Samevalue,2
81,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,Samevalue,1
82,2019-2020,Guwahati Metropolitan Development Authority,AOC,Works,Saving,1
83,2019-2020,Guwahati Metropolitan Development Authority,Financial Evaluation,Works,Samevalue,1
84,2019-2020,Health and Family Welfare Department,AOC,Goods,Samevalue,7
85,2019-2020,Health and Family Welfare Department,AOC,Services,Samevalue,1
86,2019-2020,Health and Family Welfare Department,Cancelled,Goods,Samevalue,11
87,2019-2020,Health and Family Welfare Department,Cancelled,Works,Samevalue,1
88,2019-2020,Health and Family Welfare Department,Financial Evaluation,Goods,Samevalue,1
89,2019-2020,Home B,AOC,Goods,Samevalue,18
90,2019-2020,Home B,Cancelled,Goods,Samevalue,15
91,2019-2020,Industries and Commerce Department,AOC,Goods,Samevalue,1
92,2019-2020,Industries and Commerce Department,AOC,Works,Samevalue,4
93,2019-2020,Industries and Commerce Department,Cancelled,Services,Samevalue,1
94,2019-2020,Industries and Commerce Department,Cancelled,Works,Samevalue,1
95,2019-2020,Irrigation Department,Cancelled,Works,Samevalue,1
96,2019-2020,National Health Mission,AOC,Goods,Samevalue,19
97,2019-2020,National Health Mission,AOC,Works,Samevalue,37
98,2019-2020,National Health Mission,Cancelled,Goods,Samevalue,1
99,2019-2020,National Health Mission,Cancelled,Services,Samevalue,1
100,2019-2020,National Health Mission,Cancelled,Works,Samevalue,4
101,2019-2020,National Health Mission,Financial Evaluation,Services,Samevalue,1
102,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Samevalue,25
103,2019-2020,Principal Secretary- P and RD- Assam Secretariat,AOC,Works,Saving,7
104,2019-2020,Principal Secretary- P and RD- Assam Secretariat,Cancelled,Works,Samevalue,1
105,2019-2020,Principal Secretary- P and RD- Assam Secretariat,Financial Evaluation,Works,Samevalue,4
106,2019-2020,Public Health Engineering Department,AOC,Services,Samevalue,1
107,2019-2020,Public Health Engineering Department,Cancelled,Goods,Samevalue,2
108,2019-2020,Public Health Engineering Department,Cancelled,Works,Samevalue,4
109,2019-2020,Public Works Building and NH Department,AOC,Works,Overrun,1
110,2019-2020,Public Works Building and NH Department,AOC,Works,Samevalue,18
111,2019-2020,Public Works Building and NH Department,AOC,Works,Saving,2
112,2019-2020,Public Works Roads Department,AOC,Works,Samevalue,9
113,2019-2020,Public Works Roads Department,Financial Evaluation,Works,Samevalue,1
114,2019-2020,Skill Employment and Entrepreneurship Department,AOC,Services,Samevalue,1
115,2019-2020,Social Welfare Department,Cancelled,Goods,Samevalue,1
116,2019-2020,Urban Development Department,AOC,Works,Samevalue,3
117,2019-2020,Urban Development Department,Cancelled,Goods,Samevalue,3
118,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Goods,Samevalue,10
119,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Services,Samevalue,1
120,2019-2020,Welfare of Plain Tribes and Backward Classes,AOC,Works,Samevalue,10
121,2019-2020,Welfare of Plain Tribes and Backward Classes,Cancelled,Goods,Samevalue,1
122,2019-2020,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Goods,Samevalue,4
123,2019-2020,Welfare of Plain Tribes and Backward Classes,Financial Evaluation,Services,Samevalue,2
124,2020-2021,Animal Husbandry and Veterinary Department,AOC,Goods,Samevalue,11
125,2020-2021,Animal Husbandry and Veterinary Department,AOC,Works,Samevalue,3
126,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Goods,Samevalue,1
127,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Services,Samevalue,2
128,2020-2021,Animal Husbandry and Veterinary Department,Cancelled,Works,Samevalue,1
129,2020-2021,Animal Husbandry and Veterinary Department-Externally Aided Project,AOC,Goods,Samevalue,1
130,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Goods,Samevalue,1
131,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Services,Samevalue,1
132,2020-2021,Assam Electricity Grid Corporation Ltd,AOC,Works,Samevalue,13
133,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Goods,Samevalue,1
134,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Services,Samevalue,1
135,2020-2021,Assam Electricity Grid Corporation Ltd,Cancelled,Works,Samevalue,3
136,2020-2021,Assam Electricity Grid Corporation Ltd. - Externally Funded Projects,AOC,Works,Samevalue,10
137,2020-2021,Assam Inland Water Transport Development Society,AOC,Services,Saving,1
138,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,Samevalue,1
139,2020-2021,Assam Inland Water Transport Development Society,AOC,Works,Saving,1
140,2020-2021,Assam Inland Water Transport Development Society,Cancelled,Services,Samevalue,2
141,2020-2021,Assam Police,AOC,Goods,Samevalue,4
142,2020-2021,Assam Police,AOC,Services,Samevalue,3
143,2020-2021,Assam Police,Cancelled,Goods,Samevalue,2
144,2020-2021,Assam Police,Cancelled,Services,Samevalue,1
145,2020-2021,Assam Police,Cancelled,Works,Samevalue,1
146,2020-2021,Assam Police,Financial Evaluation,Goods,Samevalue,1
147,2020-2021,Assam Police Housing Corporation Ltd,AOC,Works,Samevalue,33
148,2020-2021,Assam Police Housing Corporation Ltd,Cancelled,Works,Samevalue,4
149,2020-2021,Assam Power Distribution Company Limited- Externally Aided Project,AOC,Works,Samevalue,9
150,2020-2021,Assam Power Distribution Company Limited- Externally Aided Project,Cancelled,Works,Samevalue,1
151,2020-2021,Assam Power Distribution Company Ltd,AOC,Works,Samevalue,29
152,2020-2021,Assam Power Distribution Company Ltd,Cancelled,Services,Samevalue,14
153,2020-2021,Assam Power Generation Company Limited,AOC,Goods,Samevalue,1
154,2020-2021,Assam Power Generation Company Limited,AOC,Works,Samevalue,3
155,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,Overrun,1
156,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Services,Samevalue,1
157,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Overrun,1
158,2020-2021,Assam Power Generation Company Limited APGCL - ADB,AOC,Works,Samevalue,1
159,2020-2021,Assam Science and Technology University,AOC,Goods,Samevalue,1
160,2020-2021,Assam State Disaster Management Authority,AOC,Goods,Samevalue,2
161,2020-2021,Assam State Disaster Management Authority,AOC,Services,Samevalue,1
162,2020-2021,Assam State Disaster Management Authority,Cancelled,Goods,Samevalue,2
163,2020-2021,Assam State Disaster Management Authority,Financial Evaluation,Services,Samevalue,1
164,2020-2021,Assam State Transport Corporation,AOC,Goods,Samevalue,1
165,2020-2021,Assam State Transport Corporation,AOC,Works,Samevalue,1
166,2020-2021,Assam State Transport Corporation,Cancelled,Goods,Samevalue,4
167,2020-2021,Assam State Transport Corporation,Cancelled,Services,Samevalue,3
168,2020-2021,Axom Sarba Siksha Abhijan Mission,AOC,Goods,Samevalue,11
169,2020-2021,Axom Sarba Siksha Abhijan Mission,AOC,Services,Samevalue,1
170,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Goods,Samevalue,11
171,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Services,Samevalue,1
172,2020-2021,Axom Sarba Siksha Abhijan Mission,Cancelled,Works,Samevalue,2
173,2020-2021,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Services,Samevalue,1
174,2020-2021,Axom Sarba Siksha Abhijan Mission,Technical Evaluation,Works,Samevalue,18
175,2020-2021,BODOLAND UNIVERSITY,Cancelled,Works,Samevalue,2
176,2020-2021,Bodoland Territorial Council,AOC,Goods,Samevalue,1
177,2020-2021,Bodoland Territorial Council,AOC,Works,Samevalue,33
178,2020-2021,Bodoland Territorial Council,Cancelled,Works,Samevalue,3
179,2020-2021,Bodoland Territorial Council,Financial Bid Opening,Works,Samevalue,21
180,2020-2021,Bodoland Territorial Council,Financial Evaluation,Works,Samevalue,1
181,2020-2021,Bodoland Territorial Council,Technical Evaluation,Works,Samevalue,3
182,2020-2021,Bodoland Territorial Council-PWD,AOC,Works,Samevalue,16
183,2020-2021,Bodoland Territorial Council-PWD,Cancelled,Works,Samevalue,9
184,2020-2021,Bodoland Territorial Council-PWD,Technical Evaluation,Services,Samevalue,1
185,2020-2021,Bodoland Territorial Council-PWD,Technical Evaluation,Works,Samevalue,4
186,2020-2021,Bodoland Territorial Council-WRD,AOC,Works,Samevalue,7
187,2020-2021,Cooperation Department,AOC,Goods,Samevalue,4
188,2020-2021,Cooperation Department,AOC,Works,Samevalue,36
189,2020-2021,Cotton University,AOC,Works,Samevalue,2
190,2020-2021,Department of Cultural Affairs,AOC,Services,Samevalue,2
